Category,Service,Price,Note
Monthly Memberships,Children (newborn–18),$55 / mo,Requires at least one parent membership
Monthly Memberships,Adults 19–20,$55 / mo,
Monthly Memberships,Adults 21–40,$75 / mo,
Monthly Memberships,Adults 41–64,$95 / mo,
Monthly Memberships,Adults 65+,$115 / mo,
Monthly Memberships,Homebound individuals,$160 / mo,
Monthly Memberships,Couples discount,10% off,
Monthly Memberships,Veterans & First Responders,10% off,
Monthly Memberships,Family max payment,$265 / mo,Total household cap regardless of family size
Monthly Memberships,Annual payment in full,Ask office,Discount available — ask for details
Monthly Memberships,Small business rates,Ask office,Contact us for employer pricing
Monthly Memberships,MINIMUM 3 Month Sign up,**,no initiating fee but if canceled and rejoined a fee will be charged
Procedures,Cortisone Injection,$30,
Procedures,Testosterone Replacement Therapy,$50,
Vitamins & Shots,Alpha Lipoic Acid 600 mg,$40,
Vitamins & Shots,Ascorbic Acid Capsules,$35,
Vitamins & Shots,Ashwagandha,$30,
Vitamins & Shots,B-Complex Plus 120's,$30,
Vitamins & Shots,Beta-Sitosterol 90's,$15,
Vitamins & Shots,Buffered Ascorbic Acid Capsules,$18,
Vitamins & Shots,CoQ10 120 mg,$45,
Vitamins & Shots,Curcumasorb 108's,$45,
Vitamins & Shots,Curcumasorb 180's,$45,
Vitamins & Shots,Curcumin,$40,
Vitamins & Shots,D-Mannose Powder,$35,
Vitamins & Shots,L-Arginine,$20,
Vitamins & Shots,Liposomal Glutathione,$40,
Vitamins & Shots,Liposomal Vitamin C (capsules),$25,
Vitamins & Shots,Liposomal Vitamin C (liquid),$35,
Vitamins & Shots,Liver-G.I. Detox 120 capsules,$35,
Vitamins & Shots,Magnesium Citrate (180),$30,
Vitamins & Shots,Magnesium Glycinate,$35,
Vitamins & Shots,Melatonin 3 mg,$30,
Vitamins & Shots,Men's Pure Pack,$55,
Vitamins & Shots,"Methylcobalamin 1,000 mcg (60 capsules)",$12,
Vitamins & Shots,Mineral 650 (90's),$25,
Vitamins & Shots,Mineral 650 (180's),$25,
Vitamins & Shots,NAC (N-Acetyl-L-Cysteine) 600 mg,$25,
Vitamins & Shots,Nrf2 Detox,$40,
Vitamins & Shots,O.N.E.™ Multivitamin (60's),$40,
Vitamins & Shots,O.N.E.™ Multivitamin (120's),$60,
Vitamins & Shots,O.N.E.™ Omega (60's),$50,
Vitamins & Shots,Poly-Prebiotic Powder,$30,
Vitamins & Shots,Probiotic 50B (60 capsules),$55,
Vitamins & Shots,Probiotic G.I. (60's),$30,
Vitamins & Shots,Pure Collagen 55,$45,
Vitamins & Shots,PureGenomics® B-Complex 120's,$35,
Vitamins & Shots,PureLean® Fiber,$38,
Vitamins & Shots,"Vitamin D3 125 mcg (5,000 IU)",$25,
Vitamins & Shots,Women's Pure Pack,$6,
Vaccines,Influenza (flu),$60,
Vaccines,Flu (member price),$50,
Vaccines,Fluad (65+ Flu),$100,
Vaccines,COVID-19,$115,
Vaccines,Tdap,$70,
Vaccines,MMR,$130,
Vaccines,Varicella,$240,
Vaccines,Polio (IPV),$55,
Vaccines,Hepatitis B,$190,
Vaccines,Hepatitis A (pediatric),$185,
Vaccines,Hib (pediatric),$55,
Vaccines,Pneumococcal 20,$320,
Vaccines,Meningococcal,$160,
Labs,Tuberculosis (TB),$80,"If positive, chest X-ray required — $50 cash at ConvenientMD"
Labs,Syphilis,$20,"If positive, FTA-ABS confirmation required — $10"
Labs,Gonorrhea / Chlamydia,$60,
Labs,FTA-ABS (syphilis confirmation),$10,
Labs,MMR titer,$30,
Labs,Varicella titer,$20,
Labs,Hepatitis B titer,$20,
Labs,Polio titer,$115,
Labs,CBC (includes Differential and Platelets),$20,
Labs,Hemoglobin A1c,$14,
Labs,PSA Total,$26,
Labs,COVID-19 Test,$150,
Labs,FLOWFLEX COVID Test Kit,$15,
Labs,KBMO FIT 132 (Food Sensitivity),$325,
Labs,KBMO FIT 176 (Food Sensitivity),$425,
Labs,KBMO Zonulin Test (Leaky Gut),$150,
Immigration Visit Fees,I-693 physical exam & paperwork,$450,Charged at the first virtual consultation
Immigration Visit Fees,Additional sealed I-693 copies,$50 each,
Immigration Visit Fees,1693 Resign – new paperwork with valid labs (under 2 years),$200,
Immigration Visit Fees,Copy of Existing 1693 Paperwork,$50,
Immigration Visit Fees,1693 Complete Redo (2+ years since labs),$0,
IV Therapy,Myers Cocktail Drip,$225,
IV Therapy,Saline-Only Drip,$150,
IV Therapy,Vitamin C & Glutathione Drip,$175,
IV Therapy,Glutathione IV Push,$50,
IV Therapy,Add-on: Glutathione,$25,
IV Therapy,Add-on: Methylated B12 Injection,$25,
IV Therapy,Add-on: MICC Shot (methionine-inositol-choline-B12),$25,
Tirzepatide Weight Loss,Tirzepatide 1.2 mg,$100 / mo,
Tirzepatide Weight Loss,Tirzepatide 2.4 mg,$175 / mo,
Tirzepatide Weight Loss,Tirzepatide 4.8 mg,$225 / mo,
Tirzepatide Weight Loss,Tirzepatide 7.65 mg,$300 / mo,
Tirzepatide Weight Loss,Tirzepatide 10.2 mg,$375 / mo,
Tirzepatide Weight Loss,Tirzepatide 12.75 mg,$450 / mo,
Tirzepatide Weight Loss,Tirzepatide 15.3 mg,$525 / mo,
